 "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "Xp",  "Yp"
-35,131,-5.99999,-8.00001,-1.16777e-06,5.97574e-07,-9.41425e-07,7.15241e-07,-1.28544e-06,-1.32584,4.54161e-06,115,19,-5.99999,8.00001,-41,123
-30,131,-5.99999,-8,-4.76172e-07,-2.09006e-06,1.56574e-06,-1.58818e-07,-2.40741e-06,0.385129,6.88659e-06,120,19,-5.99999,8,-36,123
-25,131,-6,-8,5.66053e-07,-3.30178e-06,2.60507e-06,9.63795e-07,-3.69952e-06,0.296367,0,125,19,-6,8,-31,123
-20,131,-6,-7.99999,3.9085e-07,-2.45591e-06,2.44198e-06,8.4279e-07,-2.90785e-06,0.354505,0,130,19,-6,7.99999,-26,123
-15,131,-5.99992,-8.00006,-6.5302e-07,-8.96059e-07,1.10767e-06,-2.07529e-07,-1.34155e-06,0.677402,0,135,19,-5.99993,8.00006,-20.9999,123
-10,131,-6,-7.99999,-9.87734e-07,5.55233e-07,-7.43687e-07,6.40169e-07,-1.07267e-06,-1.34623,7.30549e-06,140,19,-6.00001,7.99999,-16,123
-5,131,-6,-8.00001,-5.808e-07,1.18396e-06,-2.1415e-06,1.68906e-06,-1.0859e-06,-1.13002,0,145,19,-6,8.00001,-11,123
0,131,-6,-8.00001,1.57238e-07,2.27288e-06,-2.22322e-06,2.74955e-06,-3.19431e-07,-1.1657,0,150,19,-6,8.00001,-6,123
5,131,-5.99998,-8.00001,9.37784e-07,3.53777e-06,-2.0777e-06,3.90187e-06,5.7369e-07,-1.23369,0,155,19,-5.99998,8.00001,-0.999985,123
10,131,-6,-8.00015,1.66655e-06,4.238e-06,-1.90855e-06,4.55344e-06,1.35111e-06,-1.25155,0,160,19,-6.00001,8.00015,4,123
15,131,-5.99994,-8.00008,1.51437e-06,2.53157e-06,-1.19889e-06,2.80911e-06,1.23683e-06,-1.13719,0,165,19,-5.99994,8.00008,9.00006,123
20,131,-5.99991,-8.00006,3.57116e-07,3.59837e-07,2.57144e-07,4.87055e-07,2.29897e-07,0.790688,0,170,19,-5.99991,8.00007,14.0001,123
25,131,-5.99991,-8.00007,-1.45309e-06,-1.326e-06,2.94568e-06,8.46646e-08,-2.86376e-06,0.806958,0,175,19,-5.9999,8.00007,19.0001,123
30,131,-6.00003,-8,-2.58689e-06,-1.14288e-06,4.68986e-06,5.88683e-07,-4.31845e-06,0.934744,1.80167e-05,180,19,-6.00002,8,24,123
35,131,-6,-8.00001,-2.10321e-06,-3.85728e-07,4.50999e-06,1.1685e-06,-3.65744e-06,0.967329,7.63266e-06,185,19,-6,8.00001,29,123
40,131,-6.00002,-8,-8.83391e-07,3.93706e-07,2.023e-06,9.51352e-07,-1.44104e-06,1.06695,1.7718e-05,190,19,-6.00001,8,34,123
45,131,-6,-8,-3.26656e-08,1.03198e-07,-2.28098e-07,1.68013e-07,-9.74812e-08,-1.054,1.66815e-05,195,19,-6.00001,8,39,123
50,131,-6,-8,3.47288e-07,5.33895e-08,-1.39608e-06,9.13681e-07,-5.13003e-07,-0.681655,9.76449e-07,200,19,-6,8,44,123
55,131,-6,-8.00001,1.02225e-06,-6.02699e-08,-1.86014e-06,1.55709e-06,-5.95112e-07,-0.521875,5.01512e-06,205,19,-5.99999,8.00001,49,123
60,131,-5.99998,-8.00001,2.33724e-06,9.37548e-07,-3.62196e-06,3.57889e-06,-3.04108e-07,-0.601014,7.61937e-06,210,19,-5.99999,8.00001,54,123
65,131,-6,-8.00001,3.71542e-06,2.27916e-06,-5.09045e-06,5.64188e-06,3.52694e-07,-0.647898,0,215,19,-6,8.00001,59,123
70,131,-5.99992,-8.00009,3.39473e-06,3.70354e-06,-5.94476e-06,6.52552e-06,5.72746e-07,-0.811348,0,220,19,-5.99992,8.00009,64.0001,123
75,131,-5.99991,-8.00006,1.26364e-06,4.07427e-06,-5.46827e-06,5.7431e-06,-4.05197e-07,-1.02279,0,225,19,-5.99991,8.00007,69.0001,123
80,131,-5.99989,-8.00008,-1.48056e-06,3.46305e-06,-2.59026e-06,3.7818e-06,-1.79931e-06,-1.32948,0,230,19,-5.99989,8.00008,74.0001,123
85,131,-6,-8.00001,-3.16716e-06,1.901e-06,1.00805e-06,1.95064e-06,-3.21679e-06,1.47263,0,235,19,-5.99999,8.00001,79,123
90,131,-6.00005,-8.00001,-2.65786e-06,6.37051e-07,2.70004e-06,1.11954e-06,-3.14035e-06,1.22755,8.25166e-06,240,19,-6.00004,8.00001,84,123
95,131,-5.99998,-7.99998,-8.99332e-07,-7.11097e-07,2.89054e-06,6.43119e-07,-2.25355e-06,0.817913,6.73117e-06,245,19,-5.99998,7.99998,89,123
100,131,-6,-7.99999,5.43055e-07,-6.45436e-07,9.31317e-07,7.03771e-07,-8.06151e-07,0.332334,5.25545e-06,250,19,-6,7.99999,94,123
105,131,-6,-8.00001,1.24001e-06,7.2537e-07,-1.64038e-06,1.84229e-06,1.23082e-07,-0.633395,0,255,19,-6,8.00001,99,123
110,131,-5.99998,-8,8.15449e-07,3.12965e-06,-3.28253e-06,3.98069e-06,-3.55903e-08,-1.09244,5.18288e-06,260,19,-5.99999,8,104,123
115,131,-6,-8,-4.12417e-07,4.56028e-06,-3.6794e-06,5.16689e-06,-1.01903e-06,-1.25229,1.33929e-05,265,19,-5.99999,8,109,123
120,131,-5.99988,-8.0001,-1.19131e-06,3.99718e-06,-2.83456e-06,4.35908e-06,-1.55321e-06,-1.32079,0,270,19,-5.99989,8.0001,114,123
125,131,-6,-8,-1.41146e-06,1.38906e-06,-1.94086e-07,1.39242e-06,-1.41482e-06,-1.5362,5.96223e-06,275,19,-6,8,119,123
130,131,-6,-8,-7.79873e-08,-2.46114e-06,2.01172e-06,2.89799e-07,-2.82893e-06,0.350542,8.11714e-06,280,19,-6,8,124,123
-135,126,0,0,0,0,0,0,0,0,-1,15,24,0,0,-135,126
-130,126,-6,-8,0,0,0,0,0,0,-1,20,24,-6,8,-136,118
-125,126,-6,-8,4.50546e-06,3.76286e-07,2.10043e-06,4.75722e-06,1.24524e-07,0.235284,7.72949e-06,25,24,-6,8,-131,118
-120,126,-5.99997,-7.99999,2.77715e-06,-4.98534e-07,9.08922e-07,2.83903e-06,-5.60416e-07,0.135333,9.48144e-06,30,24,-5.99997,7.99999,-126,118
-115,126,-5.99999,-7.99998,2.0314e-06,-8.06184e-07,-3.02713e-07,2.03945e-06,-8.14235e-07,-0.053139,0,35,24,-5.99999,7.99999,-121,118
-110,126,-5.99993,-8.00006,1.19797e-06,-5.74444e-07,-7.98422e-07,1.28374e-06,-6.60211e-07,-0.211623,0,40,24,-5.99993,8.00006,-116,118
-105,126,-5.9999,-8.00006,-9.15045e-08,-3.23041e-07,1.80581e-07,-6.04578e-08,-3.54088e-07,0.331189,0,45,24,-5.9999,8.00006,-111,118
-100,126,-5.99991,-8.00005,-1.3282e-06,-3.17392e-07,1.55565e-06,1.04804e-07,-1.7504e-06,1.0735,0,50,24,-5.99991,8.00005,-106,118
-95,126,-6,-8,-1.68862e-06,-5.16216e-07,2.20529e-06,1.46365e-07,-2.3512e-06,1.02971,8.36936e-06,55,24,-6,8,-101,118
-90,126,-6,-8,-1.17962e-06,-3.08223e-07,1.28019e-06,3.03868e-08,-1.51823e-06,1.08422,4.46052e-06,60,24,-6,8,-96,118
-85,126,-6,-8,-4.5975e-07,6.46349e-08,8.98255e-08,6.84538e-08,-4.63569e-07,1.48597,0,65,24,-6,8,-91,118
-80,126,-5.99992,-8.00005,3.37163e-07,3.47796e-07,-8.05983e-07,7.45506e-07,-6.05471e-08,-0.791994,0,70,24,-5.99992,8.00005,-85.9999,118
-75,126,-6.00002,-8,1.13646e-06,6.48857e-07,-1.56836e-06,1.71386e-06,7.14555e-08,-0.634684,9.83536e-06,75,24,-6.00002,8,-81,118
-70,126,-5.99999,-8,1.39132e-06,1.30421e-06,-1.91739e-06,2.30745e-06,3.88083e-07,-0.762697,7.65073e-06,80,24,-6,8,-76,118
-65,126,-5.99991,-8.00012,5.18776e-07,1.92605e-06,-1.39703e-06,2.21389e-06,2.30935e-07,-1.17992,0,85,24,-5.99991,8.00012,-70.9999,118
-60,126,-5.99999,-7.99999,-8.26592e-07,2.14672e-06,-6.12997e-07,2.17798e-06,-8.57858e-07,-1.46914,0,90,24,-6,7.99999,-66,118
-55,126,-5.99998,-8,-8.14522e-07,2.06857e-06,-5.75252e-07,2.09699e-06,-8.42937e-07,-1.47233,7.85199e-06,95,24,-5.99998,8,-61,118
-50,126,-5.99998,-8,3.8631e-07,1.79038e-06,-1.05021e-06,1.96504e-06,2.11654e-07,-1.2497,8.27612e-06,100,24,-5.99998,8,-56,118
-45,126,-5.99999,-7.99999,6.11124e-07,1.58988e-06,-8.1289e-07,1.73666e-06,4.64351e-07,-1.22425,1.27928e-05,105,24,-6,7.99999,-51,118
-40,126,-5.99977,-8.00014,-6.03479e-07,1.05942e-06,5.01937e-07,1.09647e-06,-6.40531e-07,1.42422,0,110,24,-5.99977,8.00014,-45.9998,118
-35,126,-5.99999,-8,-1.80492e-06,5.84026e-08,1.57869e-06,3.4783e-07,-2.09435e-06,1.21935,6.24647e-06,115,24,-6,8,-41,118
-30,126,-6,-8,-1.55109e-06,-8.66677e-07,1.65268e-06,-3.14488e-07,-2.10328e-06,0.981709,8.07195e-06,120,24,-6,8,-36,118
-25,126,-6.00001,-8,-6.73948e-08,-9.58118e-07,5.95096e-07,2.28569e-08,-1.04837e-06,0.294498,1.13573e-05,125,24,-6,8,-31,118
-20,126,-6.00001,-7.99999,6.09996e-07,-4.84203e-07,-6.20652e-08,6.10875e-07,-4.85082e-07,-0.0283307,0,130,24,-6.00001,7.99999,-26,118
-15,126,-6,-7.99998,1.46539e-07,1.34456e-07,-5.25313e-07,4.03224e-07,-1.22228e-07,-0.773899,1.2236e-05,135,24,-6,7.99998,-21,118
-10,126,-5.99994,-8.0001,-1.25313e-07,4.24526e-07,-1.18244e-06,8.01622e-07,-5.02408e-07,-1.00303,0,140,24,-5.99993,8.0001,-15.9999,118
-5,126,-6.00002,-8,-1.76398e-07,1.12162e-07,-1.45006e-06,7.07128e-07,-7.71364e-07,-0.883615,5.16217e-06,145,24,-6.00002,8,-11,118
0,126,-5.99994,-8.0001,2.49271e-08,-3.95112e-07,-9.93847e-07,3.5439e-07,-7.24575e-07,-0.585463,0,150,24,-5.99995,8.0001,-5.99994,118
5,126,-5.99995,-8.0001,3.91844e-07,-7.87486e-07,-2.31582e-07,4.03105e-07,-7.98747e-07,-0.09695,0,155,24,-5.99995,8.0001,-0.999954,118
10,126,-6,-8,6.79161e-07,-1.06811e-06,7.59641e-07,7.58155e-07,-1.14711e-06,0.205053,7.42532e-06,160,24,-6,8,4,118
15,126,-6,-8,6.57715e-07,-1.66919e-06,1.50727e-06,8.80477e-07,-1.89195e-06,0.287399,7.74277e-06,165,24,-5.99999,8,9,118
20,126,-5.99997,-8.00001,5.57433e-08,-1.79167e-06,1.70506e-06,3.89033e-07,-2.12496e-06,0.372674,1.18451e-05,170,24,-5.99997,8.00001,14,118
25,126,-6,-8,-1.08919e-06,-1.39763e-06,2.15414e-06,-1.55358e-07,-2.33146e-06,0.71429,4.60455e-06,175,24,-6.00001,8,19,118
30,126,-6,-8.00001,-1.59047e-06,-3.67021e-07,1.85609e-06,1.32773e-07,-2.09026e-06,1.07679,8.04349e-06,180,24,-6,8.00001,24,118
35,126,-6.00002,-8,-9.91398e-07,7.55044e-07,8.99184e-07,8.63988e-07,-1.10034e-06,1.33306,1.1419e-05,185,24,-6.00001,8,29,118
40,126,-6.00002,-8.00002,-1.75774e-07,1.46252e-06,-4.18452e-07,1.48881e-06,-2.02073e-07,-1.44576,1.09758e-05,190,24,-6.00001,8.00002,34,118
45,126,-6,-7.99999,1.89258e-07,1.22375e-06,-1.0697e-06,1.45055e-06,-3.75441e-08,-1.16973,6.71278e-06,195,24,-6,7.99999,39,118
50,126,-6,-8,1.70875e-07,7.74919e-07,-1.04883e-06,1.07806e-06,-1.32269e-07,-1.04666,8.93296e-06,200,24,-6,8,44,118
55,126,-5.99998,-8,1.0025e-06,1.38709e-07,-1.15704e-06,1.29256e-06,-1.51349e-07,-0.464751,1.12428e-05,205,24,-5.99999,8.00001,49,118
60,126,-6,-8.00001,2.85512e-06,1.81094e-07,-2.78774e-06,3.44955e-06,-4.13339e-07,-0.403108,0,210,24,-6,8.00001,54,118
65,126,-5.99998,-7.99999,4.02923e-06,5.62834e-07,-3.83566e-06,4.881e-06,-2.88933e-07,-0.417962,9.04594e-06,215,24,-5.99999,7.99999,59,118
70,126,-5.99991,-8.00007,3.3476e-06,8.43871e-07,-3.38515e-06,4.20096e-06,-9.48967e-09,-0.466986,0,220,24,-5.99991,8.00007,64.0001,118
75,126,-5.99988,-8.00006,1.01333e-06,7.11e-07,-1.81253e-06,1.78096e-06,-5.66203e-08,-0.702758,0,225,24,-5.99987,8.00006,69.0001,118
80,126,-5.99986,-8.00006,-1.86363e-06,2.40903e-07,5.69876e-07,2.78799e-07,-1.90153e-06,1.43857,0,230,24,-5.99986,8.00006,74.0001,118
85,126,-5.99989,-8.00005,-3.49168e-06,-2.12129e-07,2.33661e-06,1.61501e-07,-3.86531e-06,1.26127,0,235,24,-5.9999,8.00005,79.0001,118
90,126,-5.99992,-8.00006,-3.02269e-06,-2.32706e-07,2.34513e-06,1.94638e-07,-3.45004e-06,1.2213,0,240,24,-5.99992,8.00006,84.0001,118
95,126,-6,-7.99997,-1.065e-06,-2.16984e-07,9.9193e-07,1.15144e-08,-1.29349e-06,1.13907,5.35025e-06,245,24,-6,7.99997,89,118
100,126,-5.99998,-7.99998,1.25521e-06,1.20243e-07,-1.37617e-06,1.57963e-06,-2.04179e-07,-0.440578,0,250,24,-5.99999,7.99998,94,118
105,126,-6,-8,2.31378e-06,7.71558e-07,-3.40269e-06,3.41061e-06,-3.25266e-07,-0.572627,3.44015e-06,255,24,-5.99999,8,99,118
110,126,-5.99991,-8.00011,1.30413e-06,1.41904e-06,-3.102e-06,2.91365e-06,-1.90479e-07,-0.803912,0,260,24,-5.99991,8.00011,104,118
115,126,-5.99988,-8.00011,-7.7158e-07,1.86327e-06,-1.30373e-06,2.01572e-06,-9.24032e-07,-1.34106,0,265,24,-5.99989,8.00012,109,118
120,126,-6,-8.00001,-2.43933e-06,1.69922e-06,6.1742e-07,1.72212e-06,-2.46224e-06,1.49675,8.34941e-06,270,24,-6.00001,8.00001,114,118
125,126,-5.99997,-8,-3.22749e-06,1.00908e-06,2.05633e-06,1.24542e-06,-3.46383e-06,1.34486,0,275,24,-5.99998,8,119,118
130,126,-6,-8,-2.88953e-06,-1.83222e-07,2.14356e-06,1.89814e-07,-3.26257e-06,1.23586,1.262e-05,280,24,-5.99999,8,124,118
-135,121,0,0,0,0,0,0,0,0,-1,15,29,0,0,-135,121
-130,121,-6.00001,-8.00001,0,0,0,0,0,0,-1,20,29,-6.00001,8.00001,-136,113
-125,121,-5.99999,-8,4.52612e-06,4.14407e-07,2.97125e-06,5.00672e-06,-6.61955e-08,0.312876,5.34514e-06,25,29,-5.99999,8,-131,113
