 "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "Xp",  "Yp"
78,129,4.56529,0.000339508,0.0215287,-5.95948e-05,-1.9149e-05,0.0215287,-5.96121e-05,-0.000887009,0.00471633,228,21,4.5653,-0.000338841,82.5653,129
83,129,4.67529,0.000423431,0.0209027,2.33561e-05,-3.13473e-05,0.0209027,2.33091e-05,-0.00150135,0.00429604,233,21,4.6753,-0.000423552,87.6753,129
88,129,4.78096,0.000240326,0.0198448,7.40363e-05,-1.57775e-05,0.0198448,7.40243e-05,-0.000798022,0.00374557,238,21,4.78097,-0.000239408,92.781,129
93,129,4.87627,0.000185013,0.0187554,5.77733e-05,4.46396e-06,0.0187554,5.77727e-05,0.000238745,0.00303436,243,21,4.87627,-0.000185547,97.8763,129
98,129,4.96558,0.000892639,0.0180763,-3.10623e-05,2.83221e-05,0.0180763,-3.11052e-05,0.00156412,0.00261405,248,21,4.96557,-0.000892018,102.966,129.001
103,129,5.05359,0.00088501,0.0181205,-0.000158352,2.33782e-05,0.0181205,-0.000158381,0.00127897,0.0025983,253,21,5.0536,-0.000884315,108.054,129.001
108,129,5.14194,0.000892639,0.0188539,-0.000276929,-4.24289e-06,0.0188539,-0.00027693,-0.000221782,0.00310177,258,21,5.14195,-0.00089178,113.142,129.001
113,129,5.23938,0.000513077,0.0198887,-0.000330226,-3.88849e-05,0.0198887,-0.000330302,-0.00192319,0.0039845,263,21,5.23937,-0.000514008,118.239,129.001
118,129,5.34647,-0.00149155,0.0209272,-0.000324677,-6.58363e-05,0.0209274,-0.000324882,-0.00309787,0.00482576,268,21,5.34648,0.00149144,123.346,128.999
123,129,5.45477,-0.001297,0.0215392,-0.000215201,-4.23989e-05,0.0215392,-0.000215284,-0.00194898,0.00536116,273,21,5.45478,0.00129683,128.455,128.999
128,129,5.56577,-0.00192833,0,0,0,0,0,0,-1,278,21,5.56576,0.00192746,133.566,128.998
-132,124,0.348942,0.00288391,0.0213046,7.42955e-05,-0.000329658,0.0213098,6.91777e-05,-0.0155227,0.00458029,18,26,0.348942,-0.00288375,-131.651,124.003
-127,124,0.456581,1.14441e-05,0.0214569,8.13996e-05,-0.000125533,0.0214577,8.06618e-05,-0.00587246,0.00498621,23,26,0.456581,-1.09116e-05,-126.543,124
-122,124,0.565542,-0.000371933,0.0212686,6.69713e-05,3.52525e-05,0.0212687,6.69127e-05,0.00166272,0.00499097,28,26,0.565542,0.000371687,-121.434,124
-117,124,0.67535,0.000425339,0.0206848,3.6617e-05,0.000129461,0.0206857,3.58066e-05,0.00626951,0.00444987,33,26,0.675349,-0.00042461,-116.325,124
-112,124,0.778828,0.000570297,0.0197575,-8.8323e-06,0.000140025,0.0197585,-9.82452e-06,0.00708355,0.00375515,38,26,0.778828,-0.000569882,-111.221,124.001
-107,124,0.874641,0.00173569,0.0187866,-4.72159e-05,0.000105386,0.0187872,-4.78057e-05,0.00559533,0.00299643,43,26,0.874641,-0.00173495,-106.125,124.002
-102,124,0.965637,4.76837e-05,0.018182,-7.35685e-05,6.93817e-05,0.0181823,-7.38325e-05,0.0038005,0.0023225,48,26,0.965636,-4.80515e-05,-101.034,124
-97,124,1.05431,-0.000597,0.0182051,-8.41619e-05,4.71179e-05,0.0182052,-8.42828e-05,0.00257624,0.00244049,53,26,1.05431,0.000596496,-95.9457,123.999
-92,124,1.14351,-0.00115395,0.0188344,-8.81643e-05,2.39812e-05,0.0188345,-8.81953e-05,0.00126733,0.00300562,58,26,1.14351,0.00115322,-90.8565,123.999
-87,124,1.24055,-0.00182915,0.0198275,-9.08637e-05,3.08062e-06,0.0198275,-9.08636e-05,0.000154662,0.00376316,63,26,1.24055,0.00182873,-85.7595,123.998
-82,124,1.3447,-0.00239754,0.0207797,-8.75326e-05,-1.37994e-05,0.0207797,-8.75425e-05,-0.000661294,0.00437195,68,26,1.3447,0.00239676,-80.6553,123.998
-77,124,1.45394,-0.00209999,0.0213129,-7.33707e-05,-1.67219e-05,0.021313,-7.33845e-05,-0.000781897,0.0047703,73,26,1.45394,0.00209928,-75.5461,123.998
-72,124,1.56597,-0.00223732,0.0212673,-4.76098e-05,-2.29174e-05,0.0212673,-4.76334e-05,-0.00107518,0.00487489,78,26,1.56597,0.00223822,-70.434,123.998
-67,124,1.67271,-0.000242233,0.0206788,-6.92917e-06,-4.28807e-05,0.0206789,-7.01752e-06,-0.00207295,0.00448027,83,26,1.6727,0.000242979,-65.3273,124
-62,124,1.77579,-0.00022316,0.0197403,4.43872e-05,-6.32897e-05,0.0197405,4.41829e-05,-0.00321329,0.0037765,88,26,1.7758,0.000222539,-60.2242,124
-57,124,1.87331,0.000261307,0.0187875,8.7013e-05,-5.83006e-05,0.0187877,8.68319e-05,-0.00311755,0.002945,93,26,1.87332,-0.000261093,-55.1267,124
-52,124,1.96283,0.000354767,0.0181553,0.00011919,-2.52575e-05,0.0181554,0.000119155,-0.00140038,0.00243079,98,26,1.96283,-0.00035496,-50.0372,124
-47,124,2.05123,0.000741959,0.0181256,0.000130835,1.47236e-05,0.0181256,0.000130822,0.000818219,0.00280439,103,26,2.05123,-0.00074196,-44.9488,124.001
